Date,Open,High,Low,Close,Adj Close,Volume
2018-10-05,26632.769531,26676.160156,26301.810547,26447.050781,26447.050781,267100000
2018-10-08,26399.449219,26529.349609,26223.089844,26486.779297,26486.779297,273020000
2018-10-09,26469.189453,26539.939453,26324.160156,26430.570313,26430.570313,282560000
2018-10-10,26441.730469,26487.869141,25567.099609,25598.740234,25598.740234,438200000
2018-10-11,25518.390625,25683.640625,24899.769531,25052.830078,25052.830078,522880000
2018-10-12,25407.630859,25467.550781,25000.830078,25339.990234,25339.990234,397510000
2018-10-15,25332.460938,25482.419922,25243.880859,25250.550781,25250.550781,287320000
2018-10-16,25351.529297,25817.679688,25351.529297,25798.419922,25798.419922,305800000
2018-10-17,25705.869141,25810.089844,25479.160156,25706.679688,25706.679688,298210000
2018-10-18,25645.560547,25691.460938,25236.009766,25379.449219,25379.449219,328020000
2018-10-19,25421.089844,25608.710938,25350.019531,25444.339844,25444.339844,350810000
2018-10-22,25492.140625,25561.339844,25236.050781,25317.410156,25317.410156,314940000
2018-10-23,25038.460938,25307.699219,24768.789063,25191.429688,25191.429688,436430000
2018-10-24,25172.880859,25306.230469,24533.189453,24583.419922,24583.419922,496400000
2018-10-25,24736.539063,25104.289063,24645.560547,24984.550781,24984.550781,439670000
2018-10-26,24770.250000,24916.160156,24445.189453,24688.310547,24688.310547,505310000
2018-10-29,24818.980469,25040.580078,24122.230469,24442.919922,24442.919922,443850000
2018-10-30,24482.039063,24906.679688,24415.689453,24874.640625,24874.640625,470050000
2018-10-31,25008.820313,25336.550781,25008.820313,25115.759766,25115.759766,448930000
2018-11-01,25142.080078,25396.470703,25108.109375,25380.740234,25380.740234,383970000
2018-11-02,25443.599609,25578.980469,25078.720703,25270.830078,25270.830078,429480000
2018-11-05,25261.470703,25507.349609,25261.470703,25461.699219,25461.699219,334740000
2018-11-06,25452.830078,25651.859375,25444.900391,25635.009766,25635.009766,265450000
2018-11-07,25788.460938,26200.140625,25765.880859,26180.300781,26180.300781,361780000
2018-11-08,26139.589844,26277.820313,26081.900391,26191.220703,26191.220703,295650000
2018-11-09,26149.109375,26161.490234,25882.910156,25989.300781,25989.300781,324450000
2018-11-12,25959.330078,25966.710938,25340.509766,25387.179688,25387.179688,346910000
2018-11-13,25321.210938,25511.029297,25193.779297,25286.490234,25286.490234,339690000
2018-11-14,25388.080078,25501.289063,24935.820313,25080.500000,25080.500000,384240000
2018-11-15,25061.480469,25354.560547,24787.789063,25289.269531,25289.269531,392750000
2018-11-16,25242.349609,25510.230469,25147.800781,25413.220703,25413.220703,354460000
2018-11-19,25392.609375,25392.609375,24900.980469,25017.439453,25017.439453,358090000
2018-11-20,24618.679688,24707.259766,24368.980469,24465.640625,24465.640625,445920000
2018-11-21,24541.650391,24669.789063,24463.279297,24464.689453,24464.689453,289370000
2018-11-23,24336.400391,24408.800781,24268.740234,24285.949219,24285.949219,155940000
2018-11-26,24364.130859,24673.289063,24364.130859,24640.240234,24640.240234,306280000
2018-11-27,24557.019531,24750.730469,24416.029297,24748.730469,24748.730469,308250000
2018-11-28,24832.839844,25368.929688,24832.839844,25366.429688,25366.429688,362160000
2018-11-29,25343.650391,25479.039063,25202.789063,25338.839844,25338.839844,305110000
2018-11-30,25307.140625,25549.710938,25250.970703,25538.460938,25538.460938,482250000
2018-12-03,25779.570313,25980.210938,25670.509766,25826.429688,25826.429688,388480000
2018-12-04,25752.560547,25773.119141,25008.109375,25027.070313,25027.070313,418900000
2018-12-06,24737.419922,24951.009766,24242.220703,24947.669922,24947.669922,471690000
2018-12-07,24918.820313,25095.619141,24284.779297,24388.949219,24388.949219,398230000
2018-12-10,24360.949219,24500.810547,23881.369141,24423.259766,24423.259766,389690000
2018-12-11,24719.910156,24791.259766,24221.060547,24370.240234,24370.240234,342960000
2018-12-12,24509.089844,24828.289063,24509.089844,24527.269531,24527.269531,344330000
2018-12-13,24575.859375,24740.960938,24473.289063,24597.380859,24597.380859,299970000
2018-12-14,24408.039063,24431.140625,24033.789063,24100.509766,24100.509766,416940000
2018-12-17,23986.830078,24088.080078,23456.880859,23592.980469,23592.980469,466740000
2018-12-18,23769.130859,23927.769531,23516.019531,23675.640625,23675.640625,408070000
2018-12-19,23693.330078,24057.339844,23162.640625,23323.660156,23323.660156,503550000
2018-12-20,23224.119141,23282.199219,22644.310547,22859.599609,22859.599609,576700000
2018-12-21,22871.740234,23254.589844,22396.339844,22445.369141,22445.369141,900510000
2018-12-24,22317.279297,22339.869141,21792.199219,21792.199219,21792.199219,308420000
2018-12-26,21857.730469,22878.919922,21712.529297,22878.449219,22878.449219,433080000
2018-12-27,22629.060547,23138.890625,22267.419922,23138.820313,23138.820313,407940000
2018-12-28,23213.609375,23381.880859,22981.330078,23062.400391,23062.400391,336510000
2018-12-31,23153.939453,23333.179688,23118.300781,23327.460938,23327.460938,288830000
2019-01-02,23058.609375,23413.470703,22928.589844,23346.240234,23346.240234,321570000
2019-01-03,23176.390625,23176.390625,22638.410156,22686.220703,22686.220703,424240000
2019-01-04,22894.919922,23518.640625,22894.919922,23433.160156,23433.160156,396020000
2019-01-07,23474.259766,23687.740234,23301.589844,23531.349609,23531.349609,334200000
2019-01-08,23680.320313,23864.650391,23581.449219,23787.449219,23787.449219,317420000
2019-01-09,23844.269531,23985.449219,23776.560547,23879.119141,23879.119141,324570000
2019-01-10,23811.109375,24014.779297,23703.250000,24001.919922,24001.919922,338150000
